datetime,median_house_price,household_income,employment,education_spending,GDP,population,individual_income,health_spending,fed_interest_rate,nasdaq,nyStockExchange
1967-01-01,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,462.48999
1967-01-02,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,462.48999
1967-01-03,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,462.48999
1967-01-04,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,463.339996
1967-01-05,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,469.26001
1967-01-06,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,472.75
1967-01-07,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,476.660004
1967-01-08,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,476.660004
1967-01-09,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,476.660004
1967-01-10,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,476.660004
1967-01-11,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,480.579987
1967-01-12,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,483.429993
1967-01-13,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,486.809998
1967-01-14,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,485.970001
1967-01-15,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,485.970001
1967-01-16,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,485.970001
1967-01-17,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,491.26001
1967-01-18,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,494.0
1967-01-19,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,494.220001
1967-01-20,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,496.01001
1967-01-21,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,497.809998
1967-01-22,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,497.809998
1967-01-23,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,497.809998
1967-01-24,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,498.76001
1967-01-25,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,495.380005
1967-01-26,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,495.700012
1967-01-27,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,497.809998
1967-01-28,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,500.670013
1967-01-29,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,500.670013
1967-01-30,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,500.670013
1967-01-31,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100.0,500.140015
1967-02-01,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,499.5
1967-02-02,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,501.089996
1967-02-03,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,504.679993
1967-02-04,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,503.730011
1967-02-05,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,503.730011
1967-02-06,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,503.730011
1967-02-07,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,502.679993
1967-02-08,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,507.119995
1967-02-09,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,505.109985
1967-02-10,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,506.160004
1967-02-11,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,506.899994
1967-02-12,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,506.899994
1967-02-13,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,506.899994
1967-02-14,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,510.290009
1967-02-15,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,510.609985
1967-02-16,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,508.380005
1967-02-17,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5.0,100.0,508.48999
