label,"GDP Per Capita"
2020,63543.577788724
2019,65279.5290260953
2018,63064.4184096731
2017,60109.6557260477
2016,58021.4004997125
2015,56863.3714957652
2014,55049.9883272312
2013,53106.5367672165
2012,51602.9310457907
2011,49882.5581321495
2010,48466.6576026922
2009,47099.9804711343
2008,48382.5584490552
2007,47975.9676958038
2006,46298.7314440927
2005,44114.7477810544
2004,41712.8010675545
2003,39496.4858751381
2002,38023.1611144021
2001,37133.2428088526
2000,36334.9087770589
1999,34513.5615037271
1998,32853.6769523009
1997,31459.1389804773
1996,29967.7127181749
1995,28690.8757013347
1994,27694.853416234
1993,26387.2937338171
1992,25418.9907763319
1991,24342.2589048189
1990,23888.6000088133
1989,22857.1544330056
1988,21417.0119305191
1987,20038.9410992658
1986,19071.2271949295
1985,18236.8277265009
1984,17121.2254849995
1983,15543.8937174925
1982,14433.787727053
1981,13976.1097504641
1980,12574.7915062163
1979,11674.1863100131
1978,10564.9482220275
1977,9452.57651914511
1976,8592.25353727612
1975,7801.45666356443
1974,7225.69135952566
1973,6726.35895596695
1972,6094.01798986165
1971,5609.38259952519
1970,5234.2966662115
1969,5032.14474262003
1968,4695.92339043178
1967,4336.42658722171
1966,4146.31664631665
1965,3827.52710972039
1964,3573.94118474743
1963,3374.51517105082
1962,3243.84307754988
1961,3066.56286916615
1960,3007.12344537862
