year,median income
1962,3000
1963,3000
1964,3200
1965,3360
1966,3500
1967,3640
1968,4000
1969,4160
1970,4550
1971,4839
1972,5000
1973,5356
1974,5720
1975,6000
1976,6617
1977,7000
1978,7500
1979,8216
1980,9365
1981,10041
1982,10804
1983,11250
1984,12000
1985,12619
1986,13450
1987,14100
1988,15002
1989,16000
1990,17000
1991,17615
1992,18000
1993,18500
1994,18720
1995,19502
1996,20109
1997,21026
1998,22126
1999,24000
2000,25000
2001,25610
2002,26400
2003,27000
2004,28000
2005,28300
2006,30000
2007,30005
2008,31200
2009,31100
2010,30324
2011,31024
2012,32000
2013,32202
2014,34000
2015,35000
2016,36000
2017,38000
2018,39632
2019,40105
2020,43894
2021,44225
