Datetime,median_house_price,household_income,employment,education_spending,GDP,population,individual_income,health_spending,fed_interest_rate,nasdaq,nyStockExchange
1/1/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,462.48999
1/2/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,462.48999
1/3/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,462.48999
1/4/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,463.339996
1/5/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,469.26001
1/6/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,472.75
1/7/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,476.660004
1/8/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,476.660004
1/9/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,476.660004
1/10/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,476.660004
1/11/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,480.579987
1/12/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,483.429993
1/13/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,486.809998
1/14/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,485.970001
1/15/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,485.970001
1/16/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,485.970001
1/17/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,491.26001
1/18/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,494
1/19/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,494.220001
1/20/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,496.01001
1/21/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,497.809998
1/22/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,497.809998
1/23/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,497.809998
1/24/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,498.76001
1/25/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,495.380005
1/26/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,495.700012
1/27/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,497.809998
1/28/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,500.670013
1/29/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,500.670013
1/30/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,500.670013
1/31/1967,22300,47938,73671000,6409,4336.426587,198712000,3640,20796,4.94,100,500.140015
2/1/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,499.5
2/2/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,501.089996
2/3/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,504.679993
2/4/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,503.730011
2/5/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,503.730011
2/6/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,503.730011
2/7/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,502.679993
2/8/1967,22300,47938,73606000,6409,4336.426587,198712000,3640,20796,5,100,507.119995
